  PID  PPID USER         STIME NAME                       
    1     0 root         19:48:08 init
    2     0 root         19:48:08 [kthreadd]
    3     2 root         19:48:08 [rcu_gp]
    4     2 root         19:48:08 [rcu_par_gp]
    6     2 root         19:48:08 [kworker/0:0H-events_highpri]
    8     2 root         19:48:08 [mm_percpu_wq]
    9     2 root         19:48:08 [ksoftirqd/0]
   10     2 root         19:48:08 [rcu_preempt]
   11     2 root         19:48:08 [rcuog/0]
   12     2 root         19:48:08 [rcuop/0]
   13     2 root         19:48:08 [migration/0]
   14     2 root         19:48:08 [cpuhp/0]
   16     2 root         19:48:08 [cpuhp/1]
   17     2 root         19:48:08 [migration/1]
   18     2 root         19:48:08 [ksoftirqd/1]
   20     2 root         19:48:08 [kworker/1:0H-events_highpri]
   21     2 root         19:48:08 [rcuop/1]
   22     2 root         19:48:08 [cpuhp/2]
   23     2 root         19:48:08 [migration/2]
   24     2 root         19:48:08 [ksoftirqd/2]
   26     2 root         19:48:08 [kworker/2:0H-events_highpri]
   27     2 root         19:48:08 [rcuop/2]
   28     2 root         19:48:08 [cpuhp/3]
   29     2 root         19:48:08 [migration/3]
   30     2 root         19:48:08 [ksoftirqd/3]
   32     2 root         19:48:08 [kworker/3:0H-events_highpri]
   33     2 root         19:48:08 [rcuop/3]
   34     2 root         19:48:08 [cpuhp/4]
   35     2 root         19:48:08 [migration/4]
   36     2 root         19:48:08 [ksoftirqd/4]
   39     2 root         19:48:08 [rcuog/4]
   40     2 root         19:48:08 [rcuop/4]
   41     2 root         19:48:08 [cpuhp/5]
   42     2 root         19:48:08 [migration/5]
   43     2 root         19:48:08 [ksoftirqd/5]
   46     2 root         19:48:08 [rcuop/5]
   47     2 root         19:48:08 [cpuhp/6]
   48     2 root         19:48:08 [migration/6]
   49     2 root         19:48:08 [ksoftirqd/6]
   51     2 root         19:48:08 [kworker/6:0H-events_highpri]
   52     2 root         19:48:08 [rcuop/6]
   53     2 root         19:48:08 [cpuhp/7]
