  PID  PPID USER         STIME NAME                       
    1     0 root         21:00:07 init
    2     0 root         21:00:07 [kthreadd]
    3     2 root         21:00:07 [rcu_gp]
    4     2 root         21:00:07 [rcu_par_gp]
    5     2 root         21:00:07 [kworker/0:0-events]
    6     2 root         21:00:07 [kworker/0:0H-events_highpri]
    7     2 root         21:00:07 [kworker/u16:0-memlat_wq]
    8     2 root         21:00:07 [mm_percpu_wq]
    9     2 root         21:00:07 [ksoftirqd/0]
   10     2 root         21:00:07 [rcu_preempt]
   11     2 root         21:00:07 [rcuog/0]
   12     2 root         21:00:07 [rcuop/0]
   13     2 root         21:00:07 [migration/0]
   14     2 root         21:00:07 [cpuhp/0]
   15     2 root         21:00:07 [kworker/0:1-events]
   16     2 root         21:00:07 [cpuhp/1]
   17     2 root         21:00:07 [migration/1]
   18     2 root         21:00:07 [ksoftirqd/1]
   19     2 root         21:00:07 [kworker/1:0-events]
   20     2 root         21:00:07 [kworker/1:0H-events_highpri]
   21     2 root         21:00:07 [rcuop/1]
   22     2 root         21:00:07 [cpuhp/2]
   23     2 root         21:00:07 [migration/2]
   24     2 root         21:00:07 [ksoftirqd/2]
   25     2 root         21:00:07 [kworker/2:0-events]
   26     2 root         21:00:07 [kworker/2:0H-events_highpri]
   27     2 root         21:00:07 [rcuop/2]
   28     2 root         21:00:07 [cpuhp/3]
   29     2 root         21:00:07 [migration/3]
   30     2 root         21:00:07 [ksoftirqd/3]
   31     2 root         21:00:07 [kworker/3:0-events]
   32     2 root         21:00:07 [kworker/3:0H-events_highpri]
   33     2 root         21:00:07 [rcuop/3]
   34     2 root         21:00:07 [cpuhp/4]
   35     2 root         21:00:07 [migration/4]
   36     2 root         21:00:07 [ksoftirqd/4]
   37     2 root         21:00:07 [kworker/4:0-events]
   38     2 root         21:00:07 [kworker/4:0H-kblockd]
   39     2 root         21:00:07 [rcuog/4]
   40     2 root         21:00:07 [rcuop/4]
   41     2 root         21:00:07 [cpuhp/5]
   42     2 root         21:00:07 [migration/5]
   43     2 root         21:00:07 [ksoftirqd/5]
   44     2 root         21:00:07 [kworker/5:0-events]
   45     2 root         21:00:07 [kworker/5:0H-kblockd]
   46     2 root         21:00:07 [rcuop/5]
   47     2 root         21:00:07 [cpuhp/6]
   48     2 root         21:00:07 [migration/6]
   49     2 root         21:00:07 [ksoftirqd/6]
   50     2 root         21:00:07 [kworker/6:0-events]
   51     2 root         21:00:07 [kworker/6:0H-kblockd]
   52     2 root         21:00:07 [rcuop/6]
   53     2 root         21:00:07 [cpuhp/7]
   54     2 root         21:00:07 [migration/7]
   55     2 root         21:00:07 [ksoftirqd/7]
   56     2 root         21:00:07 [kworker/7:0-events]
   57     2 root         21:00:07 [kworker/7:0H-kblockd]
   58     2 root         21:00:07 [rcuop/7]
   59     2 root         21:00:07 [netns]
   60     2 root         21:00:07 [rcu_tasks_kthre]
   61     2 root         21:00:07 [rcu_tasks_trace]
   62     2 root         21:00:07 [kworker/4:1-mm_percpu_wq]
   63     2 root         21:00:07 [kworker/6:1-sock_diag_events]
   64     2 root         21:00:07 [kworker/5:1-events]
   65     2 root         21:00:07 [kworker/1:1-sock_diag_events]
   66     2 root         21:00:07 [kauditd]
   67     2 root         21:00:07 [qrtr_ns]
   68     2 root         21:00:07 [kworker/u16:1-kverityd]
   69     2 root         21:00:07 [kworker/u17:0-pil_workqueue]
   70     2 root         21:00:07 [kworker/7:1-events]
   71     2 root         21:00:07 [kworker/2:1-events]
   72     2 root         21:00:07 [qmp_aop]
   73     2 root         21:00:07 [hh-watchdog]
   74     2 root         21:00:07 [oom_reaper]
   75     2 root         21:00:07 [writeback]
   76     2 root         21:00:07 [kcompactd0]
   93     2 root         21:00:07 [cryptd]
  125     2 root         21:00:07 [kblockd]
  126     2 root         21:00:07 [blk_crypto_wq]
  127     2 root         21:00:07 [blkcg_punt_bio]
  128     2 root         21:00:07 [kworker/3:1-events]
  129     2 root         21:00:07 [irq/41-arm-smmu]
  130     2 root         21:00:07 [irq/42-arm-smmu]
  131     2 root         21:00:07 [governor_msm_ad]
  132     2 root         21:00:07 [irq/26-tsens-up]
  133     2 root         21:00:07 [irq/27-tsens-cr]
  134     2 root         21:00:07 [irq/29-tsens-up]
  135     2 root         21:00:07 [irq/30-tsens-cr]
  136     2 root         21:00:07 [irq/15-dcvsh-ir]
  137     2 root         21:00:07 [irq/16-dcvsh-ir]
  138     2 root         21:00:07 [irq/17-dcvsh-ir]
  139     2 root         21:00:07 [core_ctl/0]
  140     2 root         21:00:07 [kworker/7:2-events]
  141     2 root         21:00:07 [core_ctl/4]
  142     2 root         21:00:07 [kworker/7:3-events]
  143     2 root         21:00:07 [core_ctl/7]
  144     2 root         21:00:07 [kworker/7:4-events]
  145     2 root         21:00:07 [ion_system_heap]
  146     2 root         21:00:07 [devfreq_wq]
  147     2 root         21:00:07 [ipa_usb_wq]
  148     2 root         21:00:07 [mpcie_wq]
  149     2 root         21:00:07 [watchdogd]
  150     2 root         21:00:07 [ion-pool-uncach]
  151     2 root         21:00:07 [ion-pool-cached]
  152     2 root         21:00:07 [system]
  153     2 root         21:00:07 [cfg80211]
  183     2 root         21:00:08 [kswapd0:0]
  184     2 root         21:00:08 [erofs_worker/0]
  185     2 root         21:00:08 [erofs_worker/1]
  186     2 root         21:00:08 [erofs_worker/2]
  187     2 root         21:00:08 [erofs_worker/3]
