  PID  PPID USER         STIME NAME                       
    1     0 root         21:18:06 init
    2     0 root         21:18:06 [kthreadd]
    3     2 root         21:18:06 [rcu_gp]
    4     2 root         21:18:06 [rcu_par_gp]
    5     2 root         21:18:06 [kworker/0:0-events]
    6     2 root         21:18:06 [kworker/0:0H-events_highpri]
    7     2 root         21:18:06 [kworker/u16:0-kverityd]
    8     2 root         21:18:06 [mm_percpu_wq]
    9     2 root         21:18:06 [ksoftirqd/0]
   10     2 root         21:18:06 [rcu_preempt]
   11     2 root         21:18:06 [rcuog/0]
   12     2 root         21:18:06 [rcuop/0]
   13     2 root         21:18:06 [migration/0]
   14     2 root         21:18:06 [cpuhp/0]
   15     2 root         21:18:06 [kworker/0:1-events]
   16     2 root         21:18:06 [cpuhp/1]
   17     2 root         21:18:06 [migration/1]
   18     2 root         21:18:06 [ksoftirqd/1]
   19     2 root         21:18:06 [kworker/1:0-mm_percpu_wq]
   20     2 root         21:18:06 [kworker/1:0H-events_highpri]
   21     2 root         21:18:06 [rcuop/1]
   22     2 root         21:18:06 [cpuhp/2]
   23     2 root         21:18:06 [migration/2]
   24     2 root         21:18:06 [ksoftirqd/2]
   25     2 root         21:18:06 [kworker/2:0-events]
   26     2 root         21:18:06 [kworker/2:0H-events_highpri]
   27     2 root         21:18:06 [rcuop/2]
   28     2 root         21:18:06 [cpuhp/3]
   29     2 root         21:18:06 [migration/3]
   30     2 root         21:18:06 [ksoftirqd/3]
   31     2 root         21:18:06 [kworker/3:0-events]
   32     2 root         21:18:06 [kworker/3:0H-events_highpri]
   33     2 root         21:18:06 [rcuop/3]
   34     2 root         21:18:06 [cpuhp/4]
   35     2 root         21:18:06 [migration/4]
   36     2 root         21:18:06 [ksoftirqd/4]
   37     2 root         21:18:06 [kworker/4:0-mm_percpu_wq]
   38     2 root         21:18:06 [kworker/4:0H-kblockd]
   39     2 root         21:18:06 [rcuog/4]
   40     2 root         21:18:06 [rcuop/4]
   41     2 root         21:18:06 [cpuhp/5]
   42     2 root         21:18:06 [migration/5]
   43     2 root         21:18:06 [ksoftirqd/5]
   44     2 root         21:18:06 [kworker/5:0-rcu_gp]
   45     2 root         21:18:06 [kworker/5:0H-kblockd]
   46     2 root         21:18:06 [rcuop/5]
   47     2 root         21:18:06 [cpuhp/6]
   48     2 root         21:18:06 [migration/6]
   49     2 root         21:18:06 [ksoftirqd/6]
   50     2 root         21:18:06 [kworker/6:0-events]
   51     2 root         21:18:06 [kworker/6:0H-kblockd]
   52     2 root         21:18:06 [rcuop/6]
   53     2 root         21:18:06 [cpuhp/7]
   54     2 root         21:18:06 [migration/7]
