elapsed_s	state	state_reason	mods64	mods32	zygote64	zygote32	crash_lines	tombstones
0	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
60	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
120	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
180	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
240	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
300	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
360	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
420	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
480	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
540	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
600	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
660	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
720	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
780	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
840	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
900	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
960	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
1020	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
1080	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
1140	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
1200	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
1260	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
1320	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
1380	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
1440	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
1500	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
1560	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
1620	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
1680	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
1740	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
1800	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
1860	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
1920	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
1980	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
2040	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
2100	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
2160	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
2220	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
2280	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
2340	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
2400	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
2460	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
2520	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
2580	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
2640	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
2700	0	-	"truman","playintegrityfix"	"truman","playintegrityfix"	1060	1061	0	64
