  PID  PPID ARGS                       
    1     0 init second_stage
    2     0 [kthreadd]
    3     2 [rcu_gp]
    4     2 [rcu_par_gp]
    6     2 [kworker/0:0H-cpuboost_wq]
    8     2 [mm_percpu_wq]
    9     2 [ksoftirqd/0]
   10     2 [rcu_preempt]
   11     2 [rcuog/0]
   12     2 [rcuop/0]
   13     2 [migration/0]
   14     2 [cpuhp/0]
   16     2 [cpuhp/1]
   17     2 [migration/1]
   18     2 [ksoftirqd/1]
   20     2 [kworker/1:0H-events_highpri]
   21     2 [rcuop/1]
   22     2 [cpuhp/2]
   23     2 [migration/2]
   24     2 [ksoftirqd/2]
   26     2 [kworker/2:0H-events_highpri]
   27     2 [rcuop/2]
   28     2 [cpuhp/3]
   29     2 [migration/3]
   30     2 [ksoftirqd/3]
   32     2 [kworker/3:0H-events_highpri]
   33     2 [rcuop/3]
   34     2 [cpuhp/4]
   35     2 [migration/4]
   36     2 [ksoftirqd/4]
   38     2 [kworker/4:0H-events_highpri]
   39     2 [rcuog/4]
   40     2 [rcuop/4]
   41     2 [cpuhp/5]
   42     2 [migration/5]
   43     2 [ksoftirqd/5]
   45     2 [kworker/5:0H-events_highpri]
   46     2 [rcuop/5]
   47     2 [cpuhp/6]
   48     2 [migration/6]
   49     2 [ksoftirqd/6]
   52     2 [rcuop/6]
   53     2 [cpuhp/7]
   54     2 [migration/7]
   55     2 [ksoftirqd/7]
   58     2 [rcuop/7]
   59     2 [netns]
   60     2 [rcu_tasks_kthre]
   61     2 [rcu_tasks_trace]
   66     2 [kauditd]
   67     2 [qrtr_ns]
   72     2 [qmp_aop]
   73     2 [hh-watchdog]
   74     2 [oom_reaper]
   75     2 [writeback]
   76     2 [kcompactd0]
   93     2 [cryptd]
  125     2 [kblockd]
  126     2 [blk_crypto_wq]
  127     2 [blkcg_punt_bio]
  129     2 [irq/41-arm-smmu]
  130     2 [irq/42-arm-smmu]
  131     2 [governor_msm_ad]
  132     2 [irq/26-tsens-up]
  133     2 [irq/27-tsens-cr]
  134     2 [irq/29-tsens-up]
  135     2 [irq/30-tsens-cr]
  136     2 [irq/15-dcvsh-ir]
  137     2 [irq/16-dcvsh-ir]
  138     2 [irq/17-dcvsh-ir]
  139     2 [core_ctl/0]
  141     2 [core_ctl/4]
  143     2 [core_ctl/7]
  145     2 [ion_system_heap]
  146     2 [devfreq_wq]
  147     2 [ipa_usb_wq]
  148     2 [mpcie_wq]
  149     2 [watchdogd]
  150     2 [ion-pool-uncach]
  151     2 [ion-pool-cached]
  152     2 [system]
  153     2 [cfg80211]
  183     2 [kswapd0:0]
  184     2 [erofs_worker/0]
  193     2 [irq/299-smp2p]
  194     2 [irq/300-smp2p]
  195     2 [irq/301-smp2p]
  196     2 [irq/302-smp2p]
  198     2 [pmic_glink_rx]
  199     2 [pmic_glink_rx]
  201     2 [cdsprm-wq]
  202     2 [cdsprm-wq-delay]
  203     2 [hyp_core_ctl]
  205     2 [kgsl-workqueue]
  206     2 [kgsl-mementry]
  207     2 [kgsl_worker_thr]
  208     2 [qseecom-unreg-l]
  209     2 [qseecom-unload-]
  210     2 [uas]
  211     2 [k_ipa_usb]
  212     2 [irq/283-qcom,te]
  214     2 [kworker/1:1H-kblockd]
  215     2 [kworker/2:1H-kblockd]
  216     2 [kworker/3:1H-kblockd]
  217     2 [kworker/4:1H-kblockd]
  218     2 [kworker/5:1H-kblockd]
  219     2 [kworker/6:1H-fsverity_read_queue]
  220     2 [kworker/7:1H-kblockd]
  221     2 [irq/284-bcl-lvl]
  222     2 [irq/285-bcl-lvl]
  223     2 [irq/286-bcl-lvl]
  224     2 [irq/291-bcl-lvl]
  225     2 [irq/292-bcl-lvl]
  226     2 [irq/293-bcl-lvl]
  227     2 [irq/243-637000.]
  228     2 [irq/244-635000.]
  229     2 [dm_bufio_cache]
  230     2 [qcrypto_seq_res]
  231     2 [hh_rm_recv_task]
  232     2 [memlat_wq]
  233     2 [irq/305-soc:ext]
  234     2 [ipv6_addrconf]
  235     2 [krfcommd]
  236     2 [soc:qcom,svm_ne]
  237     2 [rq_stats]
  238     2 [msm_perf:events]
  239     2 [khvcd]
  241     2 [ipa_power_mgmt]
  242     2 [transport_power]
  243     2 [ipa_pm_activate]
  244     2 [rmnet_ctlwq]
  245     2 [hwrng]
  246     2 [irq/53-arm-smmu]
  247     2 [irq/54-arm-smmu]
  248     2 [irq/60-arm-smmu]
  249     2 [usb_bam_wq]
  250     2 [irq/152-pwr_eve]
  251     2 [irq/151-dp_hs_p]
  252     2 [irq/154-dm_hs_p]
  253     2 [irq/153-ss_phy_]
  254     2 [msm_vidc_worker]
